startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_phone,startup_email
Detective Box lève 2 millions d’euros pour révolutionner l’expérience du jeu,2 000 000 €,24/09/2024,https://www.jaimelesstartups.fr/news/detective-box-leve-2-millions-deuros-pour-revolutionner-lexperience-du-jeu/,,,,,,
Phacet annonce une levée de fonds de 4 millions € pour démocratiser l’IA dans les entreprises,4 000 000€,24/09/2024,https://www.jaimelesstartups.fr/news/phacet-annonce-une-levee-de-fonds-de-4-millions-e-pour-democratiser-lia-dans-les-entreprises/,,,,,,
"Lokki annonce une levée de fonds de 6,3 millions €",6 millions d’euros,24/09/2024,https://www.jaimelesstartups.fr/news/lokki-annonce-une-levee-de-fonds-de-6-millions-e/,,,,,,
PraxySanté,600 000 €,23/09/2024,https://www.jaimelesstartups.fr/praxysante-ia-pour-medecins/,,,,,,
Jump annonce une levée de 11 millions pour faciliter la vie des freelances,11 000 000,23/09/2024,https://www.jaimelesstartups.fr/news/jump-annonce-une-levee-de-11-millions-pour-faciliter-la-vie-des-freelances/,,,,,,
Inbolt annonce une levée de 15 millions € pour rendre les robots intelligents,15 millions,23/09/2024,https://www.jaimelesstartups.fr/news/inbolt-annonce-une-levee-de-15-millions-e-pour-rendre-les-robots-intelligents/,,,,,,
Ethi’Kdo annonce une levée de fonds 700K€,700 000,19/09/2024,https://www.jaimelesstartups.fr/news/ethikdo-annonce-une-levee-de-fonds-700ke/,,,,,,
"May, l’appli pour futurs/jeunes parents, annonce une levée de 7 millions €",7 000 000 €,17/09/2024,https://www.jaimelesstartups.fr/news/may-lappli-pour-futurs-jeunes-parents-annonce-une-levee-de-7-millions-e/,,,,,,
My Digital Buildings annonce une levée de fonds de 2 millions €,2 millions d'euros,17/09/2024,https://www.jaimelesstartups.fr/news/my-digital-buildings-annonce-une-levee-de-fonds-de-2-millions-e/,,,,,,
"Crée en 2018, devenu licorne en 2021, la startup SWILE annonce atteindre la rentabilité en 2024 :)",200 millions $,12/09/2024,https://www.jaimelesstartups.fr/news/cree-en-2018-licorne-en-2021-la-startup-swile-annonce-atteindre-la-rentabilite-en-2024/,,,,,,
Tenacy s’étend à l’Espagne !,9 millions,10/09/2024,https://www.jaimelesstartups.fr/news/tenacy-setend-a-espagne/,,,,,,
"La startup Bonx annonce une levée de fonds d’1,1 million d’euros en pre-seed","1,1 million €",09/09/2024,https://www.jaimelesstartups.fr/news/la-startup-bonx-annonce-une-levee-de-fonds-d11-million-deuros-en-pre-seed/,,,,,,
Qonto,622 millions d'euros,06/09/2024,https://www.jaimelesstartups.fr/news/qonto/,,,,,,
"Steerlab lève 1,7 millions € en pre-seed pour sa solution de réponse aux appels d’offres",1700000,05/09/2024,https://www.jaimelesstartups.fr/news/steerlab-leve-17-millions-e-en-pre-seed-pour-sa-solution-de-reponse-aux-appels-doffres/,,,,,,
Axonaut publie son observatoire de la trésorerie des TPE/PME,10 000 000,03/09/2024,https://www.jaimelesstartups.fr/news/axonaut-publie-son-observatoire-de-la-tresorerie-des-tpe-pme/,,,,,,
"YOURSE annonce une levée de fonds d’1,2 M€",1200000,02/09/2024,https://www.jaimelesstartups.fr/news/yourse-annonce-une-levee-de-fonds-d12-me/,,,,,,
Little Worker est labélisé B Corp,10 000 000 €,27/08/2024,https://www.jaimelesstartups.fr/news/little-worker-est-labelise-b-corp/,,,,,,
Jinko,"2,2 M€",29/07/2024,https://www.jaimelesstartups.fr/jinko-soins-personnalises-pour-les-personnes-atteintes-dun-cancer/,,,,,,
Siello annonce une levée de fonds de 500 000 euros,500 000 €,29/07/2024,https://www.jaimelesstartups.fr/news/siello-annonce-une-levee-de-fonds-de-500-000-euros/,,,,,,
osapiens annonce une levée de fonds de 120 millions de dollars,120 millions de dollars,29/07/2024,https://www.jaimelesstartups.fr/news/osapiens-annonce-une-levee-de-fonds-de-120-millions-de-dollars/,,,,,,
Merci Prosper,1 million d'euros,25/07/2024,https://www.jaimelesstartups.fr/merci-prosper-fonciere-viager-senior/,,,,,,
Ekwateur,30 000 000 euros,23/07/2024,https://www.jaimelesstartups.fr/ekwateur-fournisseur-delectricite-renouvelable/,,,,,,
Réseauglass,,22/07/2024,https://www.jaimelesstartups.fr/reseauglass-saas-dossier-de-bris-de-glace/,,,,,,
Buildots choisit par GCC pour introduire l’IA dans la gestion de chantier,115 000 000,18/07/2024,https://www.jaimelesstartups.fr/news/buildots-choisit-par-gcc-pour-introduire-lia-dans-la-gestion-de-chantier/,,,,,,
Némès Paris,1 million d'euros,18/07/2024,https://www.jaimelesstartups.fr/nemes-paris-creer-un-bijou-soi-meme/,,,,,,
YeldaAI,500000,17/07/2024,https://www.jaimelesstartups.fr/yeldaai-callbots-voicebots-chatbots-relation-client/,,,,,,
