startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Le Son du coin,1000€,12/02/2013,https://www.jaimelesstartups.fr/le-son-du-coin/,Levée de fonds : 1000€,Fondateurs : Cyril Vermandé,Nombre d'employés : 1,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Le%20Son%20du%20coin,,https://www.facebook.com/sonducoin,,,,"Le Son du coin est un site web gratuit d’écoute de musique dédié à la scène locale, où il est possible de retrouver des groupes de sa ville ou de sa région."
Lemon Curve,1M€,08/03/2013,https://www.jaimelesstartups.fr/lemon-curve/,Levée de fonds : 1M€,Fondateurs : Agathe Molinar & Julien Sylvain,Nombre d'employés : 15,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lemon%20Curve,http://www.linkedin.com/company/2977017?trk=tyah,https://www.facebook.com/LemonCurve,,,,Lemon Curve est le site n°1 de vente de lingerie en France.
SportEasy,Joker !,03/06/2013,https://www.jaimelesstartups.fr/sporteasy/,Levée de fonds : Joker !,"Fondateurs : Albin EGASSE, Nizar MELKI, Charles VALLANTIN DULAC","Nombre d'employés : 3 associés, 1 employé, 1 stagiaire",https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=SportEasy,http://www.linkedin.com/company/1442174?trk=tyah,https://www.facebook.com/sporteasy.net,,,,"DEVANT VOTRE ÉCRAN OU QUAND ON MOUILLE LE MAILLOT, LE SPORT NOUS FAIT VIVRE DE GRANDES ET BELLES ÉMOTIONS. MAIS QUAND IL S’AGIT D’ORGANISER LA VIE D’UNE ÉQUIPE C’EST UNE AUTRE HISTOIRE ! COACHS AVERTIS ET ENTREPRENEURS PRÊT À DESCENDRE SUR LE TERRAIN, ALBIN, NIZAR ET CHARLES ONT CRÉE SPORTEASY POUR FACILITER LA VIE DE TOUS LES PASSIONNÉS DE SPORT COLLECTIF! UNE APPLI QUE MÊME LE QATAR NOUS ENVIE !"
Lengow,1.2 M,15/10/2012,https://www.jaimelesstartups.fr/lengow-catalogue-distribution-de-catalogue-produit-ecommerce/,Levée de fonds : 1.2 M,Fondateurs : Mickael Froger et Jérémie Peiro,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lengow,,,,,,"Créée en 2009 par Jérémie Peiro et Mickael Froger, Lengow est une solution innovante qui permet aux e-commerçants de diffuser simplement et rapidement leurs catalogues produits sur l’ensemble des supports de diffusion, aussi bien sur les comparateurs de prix, affiliation, places de marché, retargeting, liens sponsorisés ou réseaux sociaux."
Evoliz,350 000 euros,07/06/2012,https://www.jaimelesstartups.fr/evoliz-auto-entrepreneur-entreprise-facturation/,Levée de fonds : 350 000 euros,"Fondateurs : François Aupetit, Jean-Philippe Duquerroy, Olivier Gasquet",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Evoliz,https://www.linkedin.com/company/evoliz/,https://www.facebook.com/evolizfr/,https://www.instagram.com/evolizfr/,,,"NOUVEAUX STATUTS, NOUVELLES DEMANDES, NOUVELLES TECHNOLOGIES ET DONC NOUVEAUX BUSINESS ! A L’ÉCOUTE DE LEUR ÉCOSYSTÈME, FRANÇOIS, JEAN-PHILIPPE ET OLIVIER SE SONT ATTELÉS À RÉPONDRE AU PRINCIPAL BESOIN DES NOUVEAUX ENTREPRENEURS : DÉVELOPPER LEUR ACTIVITÉ SANS PERDRE DU TEMPS EN FORMALITÉS. EVOLIZ PROPOSE DONC LA GESTION COMMERCIALE ET ADMINISTRATIVE ENTIÈREMENT EN LIGNE. SIMPLE, ÉCONOMIQUE ET EFFICACE : 3 ARGUMENTS QUI PLAIRONT À TOUS LES CRÉATEURS D’ENTREPRISE. EN LEVANT 350 000€, LE PROJET A DÉJÀ CONVAINCU LES INVESTISSEURS !"
Lingueo,NC,20/06/2013,https://www.jaimelesstartups.fr/lingueo/,Levée de fonds : NC,Fondateurs : Arnaud Portanelli & Guillaume le Dieu de Ville,Nombre d'employés : 10+,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Lingueo,http://www.linkedin.com/company/lingueo,https://www.facebook.com/Lingueo,,,,"PENDANT QUE CERTAINS CONTINUENT À CROIRE QUE L’ON PEUT APPRENDRE UNE LANGUE DANS UN LIVRE OU EN RÉPONDANT À UN QCM, D’AUTRES ONT BIEN COMPRIS L’INTÉRÊT DE LIER VIE RÉELLE OU NOUVELLES TECHNOLOGIES. CRÉATEURS DE LINGUEO, ARNAUD ET GUILLAUME ONT SU CONQUÉRIR ET TROUVER LEUR PLACE SUR UN MARCHÉ QUI NE DEMANDAIT QU’À BOUGER. LEURS ATOUTS: DES WEBCAMS ET DES ENSEIGNANTS QUALIFIÉS QUI FONT VIVRE LE TOUT. EN ATTENDANT LE DÉVELOPPEMENT À L’INTERNATIONALE !"
BUGZERO by Helperiance,En cours d'étude,31/10/2012,https://www.jaimelesstartups.fr/bugzero-by-helperiance-depannage-informatique-nice/,Levée de fonds : En cours d'étude,Fondateurs : CHAUVET Johan,Nombre d'employés : 1,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=BUGZERO%20by%20Helperiance,,,,,,"Un service d'assistance informatique, uniquement à distance."
Borderline,600 000€,20/03/2013,https://www.jaimelesstartups.fr/bordeline/,Levée de fonds : 600 000€,"Fondateurs : Sébastien Specht, Grégoire Le Chanu De Beaupuy, Quentin Fechter, Charles-Henri Aulagner",Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Borderline,,https://www.facebook.com/fbBORDERLINE,,,,"AVEC BORDERLINE, SÉBASTIEN, GRÉGOIRE, QUENTIN ET CHARLES-HENRI N’ONT PAS FROID AUX YEUX. ET POUR CAUSE, ILS ONT DU PRENDRE UNE BONNE DOSE DE VITAMINES QUE L’ON RETROUVE DANS LEURS JUS DE FRUITS ! POUR S’ATTAQUER À UN MARCHÉ SATURÉ, SUR DES RÉSEAUX ÉLITISTES ET FACE À DES CONSOMMATEURS EXIGEANTS, IL FAUT ÊTRE PRÊT À EN DÉCOUDRE. CA TOMBE BIEN, CES CRÉATEURS D’UNIVERS SONT PRÊTS À DÉPASSER LEURS LIMITES."
TextMaster,1.64 Millions €,07/02/2013,https://www.jaimelesstartups.fr/textmaster/,Levée de fonds : 1.64 Millions €,"Fondateurs : Benoit Laurent, Alexandre Ponsin, Thibaud Elzière et Quentin Nickmans",Nombre d'employés : 23,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TextMaster,,https://www.facebook.com/textmaster,,,,"ECRIRE, PRODUIRE, TRADUIRE, DIFFUSER : LA GESTION DES CONTENUS EST DEVENU UN AXE MAJEUR DE LA COMMUNICATION DE TOUTES LES ENTREPRISES QUI VEULENT ASSURER LEUR PRÉSENCE SUR LE WEB.
BENOIT, ALEXANDRE, THIBAUD ET QUENTIN, ENTREPRENEURS EXPÉRIMENTÉS ET CRÉATEURS DE TEXTMASTER, ONT SU CONVAINCRE CLIENTS ET INVESTISSEURS ET PEUVENT PRÉPARER TRANQUILLEMENT L’OUVERTURE DE LEUR BUREAU NEW-YORKAIS."
MadMagz,240 000,22/10/2012,https://www.jaimelesstartups.fr/madmagz-creer-un-magazine-faire-son-magazine/,Levée de fonds : 240 000,Fondateurs : Youssef Rahoui,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=MadMagz,,,,,,"Madmagz est un site Internet qui permet de créer, de publier et de vendre son magazine numérique ou papier."
