startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_right_web_site_url,startup_valid_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_address,startup_phrasechoc
Des Bras en plus,non,24/06/2013,https://www.jaimelesstartups.fr/des-bras-en-plus/,Levée de fonds : non,"Fondateurs : Massoud Ayati, Farid Lahlou et Zafar Baryali",Nombre d'employés : 22,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Des%20Bras%20en%20plus,https://www.desbrasenplus.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/des-bras-en-plus/,https://www.facebook.com/desbrasenplus,https://www.instagram.com/desbrasenplus/,"['0972475047', '09 72 47 50 47']",['contact@desbrasenplus.com'],"['38 rue Leon - 75018 Paris', '38 rue Leon, 75018 Paris', 'Siège social : 38 RUE LEON 75018 PARIS 18']","SI L’ÉTÉ TARDE À VENIR, LA SAISON DES DÉMÉNAGEMENTS EST QUANT À ELLE BIEN ENTAMÉE. L’ÉQUIPE DE J’AIME LES STARTUPS PEUT EN TÉMOIGNER ! PROFESSIONNELS AGUERRIS ET ENTREPRENEURS INNOVANTS, MASSOUD, FARID ET ZAFAR BOUSCULE LES CODES ET CRÉENT “DES BRAS EN PLUS”.
LE DÉMÉNAGEMENT QUI MÊLE LE PARTICIPATIF ET LA PRESTATION BIEN PHYSIQUE."
Privateaser,300 000 euros,24/06/2015,https://www.jaimelesstartups.fr/privateaser/,Levée de fonds : 300 000 euros,"Fondateurs : Nicolas Furlani, Raphaël Kolm, Alexandre Paepegaey",Nombre d'employés : 12,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Privateaser,https://www.privateaser.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/privateaser,https://www.facebook.com/privateaser,,[],['contact@privateaser.com'],[],"LA SAISON S’Y PRÊTE ET COMME TOUTES LES TERRASSES SONT TOUTES PRISES D’ASSAULT DÈS 17H, SI ON VEUT ORGANISER UNE PETITE SOIRÉE DANS UN BAR, IL SUFFIT DE FAIRE APPEL À PRIVATEASER :"
Fanpass,100 000€,18/02/2016,https://www.jaimelesstartups.fr/fanpass/,Levée de fonds : 100 000€,"Fondateurs : Adrien Taneron, Hedi Zidan",Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Fanpass,https://www.fanpass.fr/?utm_source=JaimeLesStartups,True,,https://www.facebook.com/FanpassOfficial/,,[],"['complain@fanpass.fr', 'event@fanpass.fr', 'contact@fanpass.fr']",[],"OH LA BELLE IDÉE ! SI VOUS FRÉQUENTEZ UN PEU LES SALLES DE CONCERTS OU LES STADES , VOUS CONNAISSEZ BIEN LES PETITS GROUPES DE PERSONNES QUI REMONTENT LES FILES D’ATTENTES EN PROPOSANT DES BILLETS. TANTÔT VRAIS, TANTÔT MAL RETOUCHÉS SOUS PAINT, CES BILLETS REVENDUS SOUS LE MANTEAU FAISAIENT PARTIS DU PAYSAGE. ET OUI AU PASSÉ, CAR ADRIEN ET HEDI ONT CRÉÉ FANPASS, LA MARKETPLACE DE REVENTE DES (VRAIS) BILLETS !"
Evoliz,350 000 euros,07/06/2012,https://www.jaimelesstartups.fr/evoliz-auto-entrepreneur-entreprise-facturation/,Levée de fonds : 350 000 euros,"Fondateurs : François Aupetit, Jean-Philippe Duquerroy, Olivier Gasquet",Nombre d'employés : 10,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Evoliz,https://www.evoliz.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/evoliz/,https://www.facebook.com/evolizfr/,https://www.instagram.com/evolizfr/,['01 46 72 50 04'],['support@evoliz.com'],"['1522 avenue de Draguignan, 83130 La Garde', 'Evoliz SAS 1522 avenue de Draguignan 83130 La Garde']","NOUVEAUX STATUTS, NOUVELLES DEMANDES, NOUVELLES TECHNOLOGIES ET DONC NOUVEAUX BUSINESS ! A L’ÉCOUTE DE LEUR ÉCOSYSTÈME, FRANÇOIS, JEAN-PHILIPPE ET OLIVIER SE SONT ATTELÉS À RÉPONDRE AU PRINCIPAL BESOIN DES NOUVEAUX ENTREPRENEURS : DÉVELOPPER LEUR ACTIVITÉ SANS PERDRE DU TEMPS EN FORMALITÉS. EVOLIZ PROPOSE DONC LA GESTION COMMERCIALE ET ADMINISTRATIVE ENTIÈREMENT EN LIGNE. SIMPLE, ÉCONOMIQUE ET EFFICACE : 3 ARGUMENTS QUI PLAIRONT À TOUS LES CRÉATEURS D’ENTREPRISE. EN LEVANT 350 000€, LE PROJET A DÉJÀ CONVAINCU LES INVESTISSEURS !"
Le Son du coin,1000€,12/02/2013,https://www.jaimelesstartups.fr/le-son-du-coin/,Levée de fonds : 1000€,Fondateurs : Cyril Vermandé,Nombre d'employés : 1,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Le%20Son%20du%20coin,https://www.sonducoin.fr/?utm_source=JaimeLesStartups,True,,https://www.facebook.com/sonducoin,,"['+1-202-555-0128', '+1-202-555-0152', '123-456-7893', 'Fax: +1-202-555-0158', '+1234567890', 'WhatsApp: +1-202-555-0167', '+1-202-555-0199', '+1-202-555-0117', '123-456-7899', '+1234567894', '+1234567897', '123-456-7892', '+1-202-555-0134', '+1234567896', 'WhatsApp: +1-202-555-0149', '+1234567895', 'Fax: +1-202-555-0148', '123-456-7891', '123-456-7890', '123-456-7898', '+1-202-555-0147']",['info@example.com'],"['456 Oak Avenue, Sometown, USA', '123 Main Street, City, Country', '456 Elm Street, Town, Country', '123 Main Street, Cityville, ABC123', '123 Main Street, Anytown, USA']","Le Son du coin est un site web gratuit d’écoute de musique dédié à la scène locale, où il est possible de retrouver des groupes de sa ville ou de sa région."
Fabrica de Startups,-,22/06/2015,https://www.jaimelesstartups.fr/news/fabrica-de-startups/,Levée de fonds : -,Fondateurs : Antonio Lucena de Faria/Karina Martins da Costa,Nombre d'employés : <10,http://startupdiscoveries.com/?utm_source=JaimeLesStartups,https://www.startupdiscoveries.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/2675826?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-2%2CtarId%3A1434966457651%2Ctas%3Afabrica%20de%20startups,https://www.facebook.com/FabricaDeStartups?fref=ts,,[],[],[],4 SEMAINES D'ACCÉLÉRATION À LISBONNE POUR LES TECH-TOURISM STARTUPS!
Upfluence,"$340,000",12/11/2015,https://www.jaimelesstartups.fr/upfluence/,"Levée de fonds : $340,000","Fondateurs : Kevin Creusy, Alexis Montagne, Yann Metz Pasquier, Thomas Mesnier, Vivien Garnès",Nombre d'employés : 18,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Upfluence,https://www.upfluence.com/?utm_source=JaimeLesStartups,True,https://www.linkedin.com/company/upfluence,https://www.facebook.com/upfluence,,"['123-456-7890', '+1234567890', '456-7890', '9876543210']",[],"['123 Main Street, City, Country', '456 Elm Street, Town, Country']","POUR COMMUNIQUER SUR SON PRODUIT OU SERVICE, ON PEUT FAIRE DE LA PUB MAIS ON PEUT AUSSI FAIRE DE LA COM’ CIBLÉE AUPRÈS DE LEADER D’OPINION COMME DES BLOGGEURS. LE PROBLÈME EST QU’IL FAUT D’ABORD LES IDENTIFIER, PUIS LES CONTACTER, LES CONVAINCRE DE PARLER DE VOUS ETC ETC. L’ÉQUIPE D’UPFLENCE A MIS AU POINT UNE TECHNO QUI S’OCCUPE JUSTEMENT DE VOUS AIDER DANS TOUT ÇA :"
Borderline,600 000€,20/03/2013,https://www.jaimelesstartups.fr/bordeline/,Levée de fonds : 600 000€,"Fondateurs : Sébastien Specht, Grégoire Le Chanu De Beaupuy, Quentin Fechter, Charles-Henri Aulagner",Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Borderline,https://maison-specht.fr/?utm_source=JaimeLesStartups,True,,https://www.facebook.com/fbBORDERLINE,,"['789-456-1230', 'WhatsApp: +123789456', '+1234567890', '123-789-4560', '123-456-7891', 'WhatsApp: 789-012-3456', '678-901-2345 (Fax)', '123-456-7890', 'Fax: 987-654-3210', '+123456789', '456-789-0123', 'WhatsApp: +1234546789']",[],"['123 Street Name, City, Country', '456 Park Avenue, Town, Country', '123 Main Street, City, Country']","AVEC BORDERLINE, SÉBASTIEN, GRÉGOIRE, QUENTIN ET CHARLES-HENRI N’ONT PAS FROID AUX YEUX. ET POUR CAUSE, ILS ONT DU PRENDRE UNE BONNE DOSE DE VITAMINES QUE L’ON RETROUVE DANS LEURS JUS DE FRUITS ! POUR S’ATTAQUER À UN MARCHÉ SATURÉ, SUR DES RÉSEAUX ÉLITISTES ET FACE À DES CONSOMMATEURS EXIGEANTS, IL FAUT ÊTRE PRÊT À EN DÉCOUDRE. CA TOMBE BIEN, CES CRÉATEURS D’UNIVERS SONT PRÊTS À DÉPASSER LEURS LIMITES."
FretBay,431000,30/09/2013,https://www.jaimelesstartups.fr/fretbay/,Levée de fonds : 431000,Fondateurs : Areeba REHMAN,Nombre d'employés : 7,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=FretBay,https://fretbay.com/en/,True,,https://www.facebook.com/fan.fretbay,,"['0180919710', '(0)825.422.423']",['support@fretbay.com'],"['31 rue de Reuilly 75012 Paris, France', '31 rue de Reuilly 75012 Paris France']","VENDRE EN LIGNE SANS BOUGER DE CHEZ SOI N’EST PLUS UN RÊVE DEPUIS LONGTEMPS. MAIS TANT QUE L’ON ARRIVERA PAS À METTRE SA MACHINE À LAVER EN PIÈCE JOINTE, LES CAMIONS AURONT DE BEAUX JOURS DEVANT EUX. ET LES FRAIS DE PORT QUI VONT AVEC… C’EST – ENTRE AUTRE – POUR ÉVITER L’ENNUI D’UNE REMORQUE VIDE À DES CAMIONS FORTEMENT SOLLICITÉ QU’AREEBA A FONDÉ FRETBAY, PLATEFORME DE TRANSPORTS GROUPÉS QUI ASSOCIE RÉDUCTION DE COÛTS ET ÉCOLOGIE."
Timbreos,Non communiqué,07/10/2013,https://www.jaimelesstartups.fr/timbreos/,Levée de fonds : Non communiqué,Fondateurs : Quentin LAURENT,Nombre d'employés : 0(1),https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Timbreos,https://www.timbreos.com/?utm_source=JaimeLesStartups,True,http://www.linkedin.com/company/timbreos,https://www.facebook.com/TimbreosCartePostale,,"['123-456-7896', '789-012-3456', '123-555-6789', '123-456-7894', '+1234567890', '123-456-7891', '123-456-7892', '123-456-7890', 'Fax: 987-654-3210', 'WhatsApp: 555-123-4567', '123-456-7895', '456-789-0123', '+1234567891', '123-456-7893', 'WhatsApp: +123-987-6543']",['info@example.com'],"['456 Oak Avenue, Town, Country', '123 Main Street, City, Country', '456 Elm Street, Town, Country']","DU CLIC À LA CARTE, IL N’EN FALLAIT PAS PLUS À QUENTIN POUR SE LANCER DANS L’AVENTURE AVANT MÊME D’ÊTRE DIPLÔMÉ. AVEC TIMBREOS, IL MÊLE WEB, MOBILE ET PAPIER, ET NOUS FAIT RETROUVER LE CHEMIN DE LA POSTE AVEC LE PLAISIR DE RECEVOIR UNE CARTE PERSONNALISÉE."
